days,Date,Open,High,Low,Close,Adj Close,Volume,avg
3,"Wednesday, 1 June 2011",1.830208,1.841875,1.719583,1.724583,1.720273,23088000,1.780729
4,"Thursday, 2 June 2011",1.732292,1.751042,1.706042,1.734583,1.730248,11697600,1.728542
5,"Friday, 3 June 2011",1.67375,1.711875,1.65,1.655833,1.651695,20347200,1.6809375
1,"Monday, 6 June 2011",1.648125,1.669167,1.613958,1.615833,1.611795,13368000,1.6415625
2,"Tuesday, 7 June 2011",1.628333,1.647083,1.603542,1.606458,1.602443,13963200,1.6253125
3,"Wednesday, 8 June 2011",1.595417,1.60375,1.558333,1.571875,1.567947,23380800,1.5810415
4,"Thursday, 9 June 2011",1.5725,1.60125,1.557917,1.57875,1.574805,11016000,1.5795835
5,"Friday, 10 June 2011",1.557292,1.567917,1.503958,1.50625,1.502486,13924800,1.5359375
1,"Monday, 13 June 2011",1.512708,1.530417,1.492083,1.507292,1.503525,14745600,1.51125
2,"Tuesday, 14 June 2011",1.54125,1.576458,1.540833,1.563333,1.559426,14630400,1.5586455
3,"Wednesday, 15 June 2011",1.521042,1.548125,1.467708,1.477917,1.474223,22334400,1.5079165
4,"Thursday, 16 June 2011",1.47875,1.492708,1.421042,1.457292,1.45365,21292800,1.456875
5,"Friday, 17 June 2011",1.498542,1.504167,1.43375,1.446458,1.442843,22492800,1.4689585
1,"Monday, 20 June 2011",1.432292,1.480417,1.432292,1.465625,1.461962,11803200,1.4563545
2,"Tuesday, 21 June 2011",1.484583,1.56625,1.464792,1.563333,1.559426,18571200,1.515521
3,"Wednesday, 22 June 2011",1.5425,1.569583,1.527083,1.528125,1.524306,15552000,1.548333
4,"Thursday, 23 June 2011",1.477917,1.5725,1.464167,1.570417,1.566492,28963200,1.5183335
5,"Friday, 24 June 2011",1.547083,1.551875,1.480417,1.487708,1.48399,23510400,1.516146
1,"Monday, 27 June 2011",1.494792,1.580417,1.48625,1.56,1.556101,18590400,1.5333335
2,"Tuesday, 28 June 2011",1.57125,1.630833,1.565417,1.63,1.625926,14419200,1.598125
3,"Wednesday, 29 June 2011",1.644375,1.658333,1.614583,1.650417,1.646292,17102400,1.636458
4,"Thursday, 30 June 2011",1.667708,1.718125,1.664792,1.713125,1.708844,22608000,1.6914585
5,"Friday, 1 July 2011",1.71875,1.799167,1.703958,1.7925,1.78802,19180800,1.7515625
1,"Monday, 4 July 2011",,,,1.7925,,,1.7515625
2,"Tuesday, 5 July 2011",1.798542,1.824167,1.787083,1.818333,1.813789,18321600,1.805625
3,"Wednesday, 6 July 2011",1.81375,1.845417,1.795833,1.837708,1.833115,19958400,1.820625
4,"Thursday, 7 July 2011",1.878125,1.928125,1.871458,1.912083,1.907305,26774400,1.8997915
5,"Friday, 8 July 2011",1.863542,1.896875,1.833125,1.89625,1.891511,36508800,1.865
1,"Monday, 11 July 2011",1.838333,1.865208,1.774583,1.794583,1.790098,33854400,1.8198955
2,"Tuesday, 12 July 2011",1.792083,1.80375,1.748333,1.750833,1.746458,25161600,1.7760415
3,"Wednesday, 13 July 2011",1.789792,1.8275,1.755625,1.774167,1.769733,28699200,1.7915625
4,"Thursday, 14 July 2011",1.789792,1.812708,1.692917,1.713125,1.708844,30859200,1.7528125
