days ,Date,Open,High,Low,Close,Adj Close,Volume,avg
4,25/6/2009,2.2525,2.420833,2.2525,2.411111,2.347473,1288800,2.3366665
5,26/6/2009,2.390556,2.426111,2.354722,2.398611,2.335304,6552000,2.3904165
1,29/6/2009,2.416667,2.472222,2.382778,2.466667,2.401563,4345200,2.4275
2,30/6/2009,2.466667,2.486667,2.352778,2.407778,2.344228,8564400,2.4197225
3,1/7/2009,2.436944,2.505833,2.427222,2.433611,2.369379,6019200,2.4665275
4,2/7/2009,2.338611,2.339722,2.231944,2.232778,2.173848,14637600,2.285833
5,3/7/2009,,,,2.232778,,,2.285833
1,6/7/2009,2.171111,2.241389,2.148611,2.238889,2.179797,11286000,2.195
2,7/7/2009,2.228056,2.233611,2.099444,2.099444,2.044032,14508000,2.1665275
3,8/7/2009,2.140278,2.153056,2.027778,2.101944,2.046466,24912000,2.090417
4,9/7/2009,2.138889,2.163333,2.0925,2.115,2.059178,22946400,2.1279165
5,10/7/2009,2.077222,2.131389,2.052778,2.094722,2.039435,25599600,2.0920835
1,13/7/2009,2.12,2.251389,2.07,2.247778,2.188452,21837600,2.1606945
2,14/7/2009,2.270556,2.293889,2.220556,2.293889,2.233345,19350000,2.2572225
3,15/7/2009,2.378056,2.504722,2.368889,2.49,2.42428,18460800,2.4368055
4,16/7/2009,2.465,2.585,2.4525,2.556667,2.489187,23198400,2.51875
5,17/7/2009,2.549167,2.569444,2.508056,2.552222,2.48486,13687200,2.53875
1,20/7/2009,2.603889,2.650278,2.5625,2.629722,2.560315,18597600,2.606389
2,21/7/2009,2.697778,2.7025,2.578333,2.673333,2.602775,22618800,2.6404165
3,22/7/2009,2.621667,2.719167,2.617222,2.668333,2.597907,18817200,2.6681945
4,23/7/2009,2.676389,2.883333,2.674167,2.845556,2.770452,27511200,2.77875
5,24/7/2009,2.8,2.888056,2.763056,2.882778,2.806692,30063600,2.825556
1,27/7/2009,2.873889,2.913333,2.821389,2.907222,2.830491,22467600,2.867361
2,28/7/2009,2.848056,2.91,2.795278,2.8825,2.806421,23238000,2.852639
3,29/7/2009,2.827222,2.871111,2.788333,2.844167,2.7691,27954000,2.829722
4,30/7/2009,2.953056,3.035278,2.929722,2.933056,2.855642,27943200,2.9825
